album/id,artists/name,album/name,album/release_date,album/total_tracks,track/explicit,songs/name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,playlist_genre,playlist_subgenre,time_signature
4JApkbiesQxv5drdEZRlZC,Lizzo,About Damn Time,14/4/2022,1,TRUE,About Damn Time,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822,pop,dance pop,4
61haUqRaA5Et20JVbArrmU,JVKE,this is what falling in love feels like,3/9/2021,1,FALSE,this is what falling in love feels like,0.424,0.438,11,-5.53,1,0.0553,0.617,0,0.0837,0.325,128.983,audio_features,4UG2Fm0E98LhE2dlNxiAXx,spotify:track:4UG2Fm0E98LhE2dlNxiAXx,https://api.spotify.com/v1/tracks/4UG2Fm0E98LhE2dlNxiAXx,https://api.spotify.com/v1/audio-analysis/4UG2Fm0E98LhE2dlNxiAXx,120308,indie,dance pop,5
3In1CblWZswwun5MhOa10y,Taylor Swift,This Love (Taylor’s Version),6/5/2022,2,FALSE,This Love (Taylor’s Version),0.47,0.494,4,-8.672,1,0.0349,0.302,0,0.0672,0.0524,144.039,audio_features,4d1CG5ei1E2vGbvmgf5KKv,spotify:track:4d1CG5ei1E2vGbvmgf5KKv,https://api.spotify.com/v1/tracks/4d1CG5ei1E2vGbvmgf5KKv,https://api.spotify.com/v1/audio-analysis/4d1CG5ei1E2vGbvmgf5KKv,250100,pop,dance pop,4
3nOj9hsnptBEDt9ie2lra5,ENHYPEN,DIMENSION : ANSWER,10/1/2022,11,FALSE,Polaroid Love,0.738,0.67,7,-3.766,0,0.0439,0.458,0,0.361,0.651,138.055,audio_features,5elW2CKSoqjYoJ32AGDxf1,spotify:track:5elW2CKSoqjYoJ32AGDxf1,https://api.spotify.com/v1/tracks/5elW2CKSoqjYoJ32AGDxf1,https://api.spotify.com/v1/audio-analysis/5elW2CKSoqjYoJ32AGDxf1,184602,pop,dance pop,4
1gTmjLH8mcfzQsKSG8piVX,Faouzia,"RIP, Love",30/3/2022,2,FALSE,"RIP, Love",0.595,0.583,2,-7.915,0,0.0346,0.00641,0.00000285,0.325,0.422,100.018,audio_features,3sYZo4HrHX8tkul5FhUpVo,spotify:track:3sYZo4HrHX8tkul5FhUpVo,https://api.spotify.com/v1/tracks/3sYZo4HrHX8tkul5FhUpVo,https://api.spotify.com/v1/audio-analysis/3sYZo4HrHX8tkul5FhUpVo,173942,rap,trap,4
6Na1Irgy420bot5shdqlFz,Charlie Puth,That's Hilarious,8/4/2022,2,TRUE,That's Hilarious,0.714,0.442,6,-5.909,1,0.0605,0.742,0,0.114,0.546,108.039,audio_features,1jIMjbzcGCcCQn5iMu9CUc,spotify:track:1jIMjbzcGCcCQn5iMu9CUc,https://api.spotify.com/v1/tracks/1jIMjbzcGCcCQn5iMu9CUc,https://api.spotify.com/v1/audio-analysis/1jIMjbzcGCcCQn5iMu9CUc,146855,pop,dance pop,4
2HPj0XZe9WduSsyKTQqgVa,NIKI,Every Summertime,10/8/2021,1,FALSE,Every Summertime,0.628,0.676,6,-4.227,1,0.0424,0.393,0.0000694,0.0978,0.723,78.996,audio_features,68HocO7fx9z0MgDU0ZPHro,spotify:track:68HocO7fx9z0MgDU0ZPHro,https://api.spotify.com/v1/tracks/68HocO7fx9z0MgDU0ZPHro,https://api.spotify.com/v1/audio-analysis/68HocO7fx9z0MgDU0ZPHro,215687,r&b,hip pop,4
6tUQPKlpR4x1gjrXTtOImI,GAYLE,abcdefu,13/8/2021,1,TRUE,abcdefu,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,rock,permanent wave,4
1o1Jc1rX5e2OVDZKcl6ukX,Yuna,Y2,6/5/2022,3,FALSE,Make A Move,0.768,0.364,7,-13.616,0,0.0358,0.736,0.206,0.11,0.473,120.003,audio_features,6OP5wEM3P6mFoDGmjM7EId,spotify:track:6OP5wEM3P6mFoDGmjM7EId,https://api.spotify.com/v1/tracks/6OP5wEM3P6mFoDGmjM7EId,https://api.spotify.com/v1/audio-analysis/6OP5wEM3P6mFoDGmjM7EId,193500,pop,dance pop,4
5GulvBNneCO2QRjoWVzhWI,Sezairi,It's You,13/4/2018,1,FALSE,It's You,0.63,0.456,8,-8.285,1,0.0317,0.545,0,0.114,0.166,137.915,audio_features,7rdnB5DAyPbaj51TCQRcqW,spotify:track:7rdnB5DAyPbaj51TCQRcqW,https://api.spotify.com/v1/tracks/7rdnB5DAyPbaj51TCQRcqW,https://api.spotify.com/v1/audio-analysis/7rdnB5DAyPbaj51TCQRcqW,251440,r&b,hip pop,3
2kzPJWrTjVKEYWWhowXLnz,Billie Eilish,Happier Than Ever (Edit),28/7/2021,1,TRUE,Happier Than Ever - Edit,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,audio_features,32BeYxKPrig1LefHsC0Xuo,spotify:track:32BeYxKPrig1LefHsC0Xuo,https://api.spotify.com/v1/tracks/32BeYxKPrig1LefHsC0Xuo,https://api.spotify.com/v1/audio-analysis/32BeYxKPrig1LefHsC0Xuo,151444,pop,dance pop,3
3Zu8uym76sjmYEGTFsXnSy,Jimin,"Our Blues, Pt. 4 (Original Television Soundtrack)",24/4/2022,2,FALSE,With you,0.532,0.426,3,-6.117,1,0.0288,0.639,0,0.134,0.137,149.898,audio_features,2gzhQaCTeNgxpeB2TPllyY,spotify:track:2gzhQaCTeNgxpeB2TPllyY,https://api.spotify.com/v1/tracks/2gzhQaCTeNgxpeB2TPllyY,https://api.spotify.com/v1/audio-analysis/2gzhQaCTeNgxpeB2TPllyY,201905,pop,dance pop,3
